id,restaurant_name,reviewer_name,review_text,rating,date_of_visit,location,review_length,month_of_visit
0,Грибова Колиба,Марта,Офіціантка Повільно Обслуговувала велике меню непоганий салат довго чекали на замовлення. Затишне Місце велика сирна тарілка було смачно чудово.,3,2022-05-30,Миргород,144,5
1,Стильна Кавʼярня,Устим,Могло Бути Краще чудово велика сирна тарілка не сподобалось довго чекали на замовлення. Раджу Відвідати погане обслуговування кухня на висоті затишне місце непоганий салат могло бути краще.,4,2022-09-06,Долинська,189,9
2,Грибова Колиба,Валентина,Чудово велике меню приємні ціни піца смачна.,5,2024-01-09,Бібрка,44,1
3,Мʼясна Пекарня,Богуслав,Не Сподобалось чудово гарна територія довго чекали на чек погане обслуговування.,2,2023-05-13,Снігурівка,80,5
4,Апетитна Пирогівня,Лариса,Офіціантка Повільно Обслуговувала принесли пересмажений стейк велике меню принесли пересмажений стейк комфортно довго чекали на замовлення затишне місце.,1,2024-01-21,Корюківка,153,1
5,Пікантна Колиба,Орися,Було Смачно не сподобалось офіціантка повільно обслуговувала найкращі роли борщ був несмачний рекомендую непоганий салат. Піца Смачна раджу спробувати напої власного виробництва страви були холодні піца смачна довго чекали на замовлення.,4,2022-07-01,Львів,237,7
6,Відома Таверна,Леонід,Піца Смачна комфортно класне обслуговування погане обслуговування рекомендую рекомендую рекомендую. Чистий Столик приємні ціни піца смачна велика сирна тарілка довго чекали на замовлення.,1,2022-12-27,Луцьк,187,12
7,Мʼясна Шашлична,Аарон,Довго Чекали На Замовлення приємні ціни найкращі роли сучасний iнтер`єр світлий зал із чудовим краєвидом чудово борщ був несмачний.,3,2022-03-11,Костопіль,131,3
8,Грибова Закусочна,Опанас,Раджу Відвідати атмосфера чудова чудово враження позитивні довго чекали на замовлення.,1,2023-04-14,Прилуки,86,4
9,Грибова Закусочна,Макар,Класне Обслуговування могло бути краще кухня на висоті жахливо непоганий салат раджу відвідати.,1,2023-02-26,Кагарлик,95,2
10,Чудова Кухня,Леонтій,Довго Чекали На Чек чудово світлий зал із чудовим краєвидом було смачно жахливо.,4,2023-11-19,Покров,80,11
11,Ароматна Шампанерія,Кирило,Чистий Столик довго чекали на замовлення офіціантка повільно обслуговувала борщ був несмачний. Принесли Пересмажений Стейк приємні ціни рекомендую найкращі роли атмосфера чудова.,3,2022-10-28,Верхньодніпровськ,178,10
12,Найкраща Кухня,Ігор,Офіціантка Повільно Обслуговувала жахливо не сподобалось раджу спробувати напої власного виробництва довго чекали на замовлення велике меню.,5,2022-07-18,Виноградів,140,7
13,Райська Бургерна,Валентин,Комфортно не сподобалось атмосфера чудова рекомендую велике меню чудово раджу спробувати напої власного виробництва.,3,2023-11-11,Могилів-Подільський,116,11
14,Стильна Кавʼярня,Володимира,Принесли Холодну Каву було смачно раджу спробувати напої власного виробництва враження позитивні найкращі роли приємні ціни класне обслуговування непоганий салат.,1,2023-09-08,Красилів,162,9
15,Стильна Канапка,Веніямин,Офіціантка Повільно Обслуговувала чудово офіціантка повільно обслуговувала раджу спробувати напої власного виробництва. Довго Чекали На Чек приємні ціни кухня на висоті.,5,2022-04-17,Моршин,169,4
