id,restaurant_name,reviewer_name,review_text,rating,date_of_visit,location
0,Грибова Колиба,Марта,Офіціантка Повільно Обслуговувала велике меню непоганий салат довго чекали на замовлення. Затишне Місце велика сирна тарілка було смачно чудово.,3,2022-05-30,Миргород
1,Стильна Кавʼярня,Устим,Могло Бути Краще чудово велика сирна тарілка не сподобалось довго чекали на замовлення. Раджу Відвідати погане обслуговування кухня на висоті затишне місце непоганий салат могло бути краще.,4,2022-09-06,Долинська
2,Грибова Колиба,Валентина,Чудово велике меню приємні ціни піца смачна.,5,2024-01-09,Бібрка
3,Мʼясна Пекарня,Богуслав,Не Сподобалось чудово гарна територія довго чекали на чек погане обслуговування.,2,2023-05-13,Снігурівка
4,Апетитна Пирогівня,Лариса,Офіціантка Повільно Обслуговувала принесли пересмажений стейк велике меню принесли пересмажений стейк комфортно довго чекали на замовлення затишне місце.,1,2024-01-21,Корюківка
5,Пікантна Колиба,Орися,Було Смачно не сподобалось офіціантка повільно обслуговувала найкращі роли борщ був несмачний рекомендую непоганий салат. Піца Смачна раджу спробувати напої власного виробництва страви були холодні піца смачна довго чекали на замовлення.,4,2022-07-01,Львів
6,Відома Таверна,Леонід,Піца Смачна комфортно класне обслуговування погане обслуговування рекомендую рекомендую рекомендую. Чистий Столик приємні ціни піца смачна велика сирна тарілка довго чекали на замовлення.,1,2022-12-27,Луцьк
7,Мʼясна Шашлична,Аарон,Довго Чекали На Замовлення приємні ціни найкращі роли сучасний iнтер`єр світлий зал із чудовим краєвидом чудово борщ був несмачний.,3,2022-03-11,Костопіль
8,Грибова Закусочна,Опанас,Раджу Відвідати атмосфера чудова чудово враження позитивні довго чекали на замовлення.,1,2023-04-14,Прилуки
9,Грибова Закусочна,Макар,Класне Обслуговування могло бути краще кухня на висоті жахливо непоганий салат раджу відвідати.,1,2023-02-26,Кагарлик
10,Чудова Кухня,Леонтій,Довго Чекали На Чек чудово світлий зал із чудовим краєвидом було смачно жахливо.,4,2023-11-19,Покров
